,Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
0,1,30/01/2020,6:00 PM,Kerala,1,0,0,0,1
1,2,31/01/2020,6:00 PM,Kerala,1,0,0,0,1
2,3,1/2/2020,6:00 PM,Kerala,2,0,0,0,2
3,4,2/2/2020,6:00 PM,Kerala,3,0,0,0,3
4,5,3/2/2020,6:00 PM,Kerala,3,0,0,0,3
5,6,4/2/2020,6:00 PM,Kerala,3,0,0,0,3
6,7,5/2/2020,6:00 PM,Kerala,3,0,0,0,3
7,8,6/2/2020,6:00 PM,Kerala,3,0,0,0,3
8,9,7/2/2020,6:00 PM,Kerala,3,0,0,0,3
9,10,8/2/2020,6:00 PM,Kerala,3,0,0,0,3
10,11,9/2/2020,6:00 PM,Kerala,3,0,0,0,3
11,12,10/2/2020,6:00 PM,Kerala,3,0,0,0,3
12,13,11/2/2020,6:00 PM,Kerala,3,0,0,0,3
13,14,12/2/2020,6:00 PM,Kerala,3,0,0,0,3
14,15,13/02/2020,6:00 PM,Kerala,3,0,0,0,3
15,16,14/02/2020,6:00 PM,Kerala,3,0,0,0,3
16,17,15/02/2020,6:00 PM,Kerala,3,0,0,0,3
17,18,16/02/2020,6:00 PM,Kerala,3,0,0,0,3
18,19,17/02/2020,6:00 PM,Kerala,3,0,0,0,3
19,20,18/02/2020,6:00 PM,Kerala,3,0,0,0,3
20,21,19/02/2020,6:00 PM,Kerala,3,0,0,0,3
21,22,20/02/2020,6:00 PM,Kerala,3,0,0,0,3
22,23,21/02/2020,6:00 PM,Kerala,3,0,0,0,3
23,24,22/02/2020,6:00 PM,Kerala,3,0,0,0,3
24,25,23/02/2020,6:00 PM,Kerala,3,0,0,0,3
25,26,24/02/2020,6:00 PM,Kerala,3,0,0,0,3
26,27,25/02/2020,6:00 PM,Kerala,3,0,0,0,3
27,28,26/02/2020,6:00 PM,Kerala,3,0,0,0,3
28,29,27/02/2020,6:00 PM,Kerala,3,0,0,0,3
29,30,28/02/2020,6:00 PM,Kerala,3,0,0,0,3
30,31,29/02/2020,6:00 PM,Kerala,3,0,0,0,3
31,32,1/3/2020,6:00 PM,Kerala,3,0,0,0,3
32,33,2/3/2020,6:00 PM,Telengana,1,0,0,0,1
33,34,2/3/2020,6:00 PM,Kerala,3,0,0,0,3
34,35,2/3/2020,6:00 PM,Delhi,1,0,0,0,1
35,36,3/3/2020,6:00 PM,Telengana,1,0,0,0,1
36,37,3/3/2020,6:00 PM,Rajasthan,0,1,0,0,1
37,38,3/3/2020,6:00 PM,Kerala,3,0,3,0,3
38,39,3/3/2020,6:00 PM,Delhi,1,0,0,0,1
39,40,4/3/2020,6:00 PM,Uttar Pradesh,6,0,0,0,6
40,41,4/3/2020,6:00 PM,Kerala,3,0,3,0,3
41,42,4/3/2020,6:00 PM,Haryana,0,2,0,0,2
42,43,4/3/2020,6:00 PM,Delhi,1,0,0,0,1
43,44,4/3/2020,6:00 PM,Telengana,1,0,0,0,1
44,45,4/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
45,46,5/3/2020,6:00 PM,Delhi,2,0,0,0,2
46,47,5/3/2020,6:00 PM,Haryana,0,2,0,0,2
47,48,5/3/2020,6:00 PM,Kerala,3,0,3,0,3
48,49,5/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
49,50,5/3/2020,6:00 PM,Telengana,1,0,0,0,1
50,51,5/3/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
51,52,6/3/2020,6:00 PM,Delhi,3,0,0,0,3
52,53,6/3/2020,6:00 PM,Haryana,0,2,0,0,2
53,54,6/3/2020,6:00 PM,Kerala,3,0,3,0,3
54,55,6/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
55,56,6/3/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
56,57,6/3/2020,6:00 PM,Telengana,1,0,0,0,1
57,58,7/3/2020,6:00 PM,Kerala,3,0,3,0,3
58,59,7/3/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
59,60,7/3/2020,6:00 PM,Ladakh,2,0,0,0,2
60,61,7/3/2020,6:00 PM,Telengana,1,0,0,0,1
61,62,7/3/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
62,63,7/3/2020,6:00 PM,Delhi,3,0,0,0,3
63,64,7/3/2020,6:00 PM,Haryana,0,2,0,0,2
64,65,7/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
65,66,8/3/2020,6:00 PM,Ladakh,2,0,0,0,2
